device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M1,0.6,2.0,0.0,6.10455E-06,9.31675E-05,5.21072E-06,6.21163E-05,0.66517,0.0587021,6.14455E-16,-7.25886E-16,1.25903E-17,-1.22353E-16,-1.83491E-16
M2,0.6,2.0,0.0,2.86286E-07,6.19441E-06,4.7042E-08,1.48255E-06,0.718541,0.0486,9.80439E-16,-7.38814E-16,1.64846E-18,-6.72735E-17,-1.00891E-16
M1,0.6,2.0,0.3,5.8602E-05,0.000414516,6.10417E-05,0.000295113,0.464704,0.136373,6.72789E-16,-7.73999E-16,4.57825E-17,-1.45282E-16,-2.17865E-16
M2,0.6,2.0,0.3,1.45797E-06,2.66287E-05,1.91956E-07,8.32785E-06,0.638153,0.0608375,1.17978E-15,-9.6314E-16,1.7514E-18,-1.1288E-16,-1.69283E-16
M1,0.8,0.05,-0.3,5.82278E-06,6.67252E-05,7.7766E-05,6.08431E-06,0.754786,0.0984957,7.56509E-16,-3.58467E-16,-2.96635E-16,-3.16428E-17,-3.3058E-17
M2,0.8,0.05,-0.3,1.87254E-06,2.71108E-05,2.20539E-05,5.34429E-06,0.787872,0.0833218,1.42056E-15,-8.60188E-16,-4.29622E-16,-1.24797E-16,-1.33096E-16
M1,0.8,0.05,0.0,8.24643E-06,7.82788E-05,0.000120007,1.06937E-05,0.722196,0.112797,7.66276E-16,-3.79933E-16,-2.88064E-16,-4.77571E-17,-4.9691E-17
M2,0.8,0.05,0.0,4.18443E-06,4.25193E-05,5.9579E-05,1.03558E-05,0.723986,0.114011,1.50157E-15,-8.6155E-16,-5.23993E-16,-1.65854E-16,-1.73525E-16
M1,0.8,0.05,0.3,1.22962E-05,8.86847E-05,0.000197446,1.68426E-05,0.675414,0.133661,7.7764E-16,-4.15767E-16,-2.54308E-16,-6.6465E-17,-6.93437E-17
M2,0.8,0.05,0.3,8.24208E-06,5.23832E-05,0.000131925,1.70124E-05,0.64289,0.157245,1.55721E-15,-8.59243E-16,-5.97007E-16,-2.27324E-16,-2.36239E-16
M1,0.8,0.2,-0.3,1.00246E-05,0.000133967,1.20118E-05,1.19648E-05,0.754785,0.0984962,6.68907E-16,-5.21587E-16,-4.06841E-17,-2.16327E-17,-2.86442E-17
M2,0.8,0.2,-0.3,2.72638E-06,4.57255E-05,1.36803E-06,8.90217E-06,0.787399,0.0835321,1.2367E-15,-1.05369E-15,-1.98569E-17,-8.08066E-17,-1.14894E-16
M1,0.8,0.2,0.0,1.58355E-05,0.000179357,2.40537E-05,3.12001E-05,0.71781,0.115006,6.83744E-16,-5.61799E-16,-3.60052E-17,-4.30648E-17,-5.59691E-17
M2,0.8,0.2,0.0,7.12882E-06,9.2709E-05,4.17327E-06,2.2026E-05,0.723567,0.11425,1.30267E-15,-1.10581E-15,-4.03281E-17,-1.07373E-16,-1.48532E-16
M1,0.8,0.2,0.3,2.82875E-05,0.000240934,6.22919E-05,5.36346E-05,0.659206,0.141894,7.04593E-16,-5.90694E-16,-1.63009E-17,-5.89621E-17,-7.43358E-17
M2,0.8,0.2,0.3,1.70389E-05,0.000149453,1.47681E-05,4.60967E-05,0.642526,0.157465,1.36726E-15,-1.14201E-15,-8.05041E-17,-1.53921E-16,-2.03763E-16
M1,0.8,0.5,-0.3,1.29129E-05,0.000164489,8.59037E-06,1.46436E-05,0.754783,0.0984973,6.47612E-16,-5.38093E-16,-1.15049E-18,-1.86059E-17,-2.76609E-17
M2,0.8,0.5,-0.3,2.98924E-06,5.00252E-05,6.62244E-07,9.71703E-06,0.786452,0.0839549,1.22043E-15,-1.05555E-15,1.8015E-18,-7.59379E-17,-1.13328E-16
M1,0.8,0.5,0.0,2.20276E-05,0.000231073,1.97221E-05,5.90372E-05,0.709037,0.119466,6.60156E-16,-6.20401E-16,1.26522E-17,-5.26675E-17,-7.82733E-17
M2,0.8,0.5,0.0,7.80983E-06,0.00010224,1.53851E-06,2.42267E-05,0.722729,0.114728,1.27499E-15,-1.11264E-15,9.88952E-19,-9.75045E-17,-1.45316E-16
M1,0.8,0.5,0.3,4.56859E-05,0.000331889,5.92418E-05,0.00010057,0.626789,0.15821,6.77034E-16,-6.52585E-16,4.73425E-17,-6.46013E-17,-9.57481E-17
M2,0.8,0.5,0.3,1.88839E-05,0.00017112,3.44624E-06,5.24616E-05,0.641797,0.157904,1.32097E-15,-1.1622E-15,-2.38024E-19,-1.32166E-16,-1.96543E-16
M1,0.8,1.0,-0.3,1.69918E-05,0.00020119,7.92847E-06,1.78518E-05,0.754779,0.098499,6.46649E-16,-5.38097E-16,-9.51827E-20,-1.84383E-17,-2.76153E-17
M2,0.8,1.0,-0.3,3.27058E-06,5.40955E-05,5.04663E-07,1.04708E-05,0.784875,0.0846652,1.22068E-15,-1.05604E-15,2.67227E-18,-7.54347E-17,-1.13038E-16
M1,0.8,1.0,0.0,3.22178E-05,0.000295001,2.13447E-05,0.000115776,0.694414,0.126994,6.61429E-16,-6.85317E-16,1.39594E-17,-7.96522E-17,-1.19313E-16
M2,0.8,1.0,0.0,8.42528E-06,0.0001091,1.05171E-06,2.57727E-05,0.721333,0.115528,1.27409E-15,-1.11215E-15,2.34171E-18,-9.66934E-17,-1.4487E-16
M1,0.8,1.0,0.3,7.80813E-05,0.000428181,7.02805E-05,0.000188506,0.57276,0.184365,6.80853E-16,-7.08821E-16,4.87551E-17,-9.21696E-17,-1.38011E-16
M2,0.8,1.0,0.3,2.01535E-05,0.000181314,2.0278E-06,5.54232E-05,0.640582,0.158637,1.3192E-15,-1.16122E-15,1.90826E-18,-1.30791E-16,-1.95902E-16
M1,0.8,1.5,-0.3,2.09176E-05,0.000234463,7.80359E-06,2.07548E-05,0.754775,0.0985007,6.46544E-16,-5.38055E-16,-2.22184E-20,-1.84176E-17,-2.76099E-17
M2,0.8,1.5,-0.3,3.51103E-06,5.73667E-05,4.64781E-07,1.10652E-05,0.783297,0.0853827,1.22199E-15,-1.057E-15,2.74985E-18,-7.52518E-17,-1.12831E-16
M1,0.8,1.5,0.0,4.34704E-05,0.000351644,2.36807E-05,0.000186498,0.679792,0.134586,6.63483E-16,-7.50232E-16,1.4075E-17,-1.0722E-16,-1.60749E-16
M2,0.8,1.5,0.0,8.91242E-06,0.00011399,9.18558E-07,2.68478E-05,0.719937,0.116331,1.2746E-15,-1.11215E-15,2.44775E-18,-9.64244E-17,-1.44569E-16
